23	NC_001869	10803552 10803557 10803559 10803579 10803581 10803582 10803583 10803584 10803603 10803606 10803610 10803627 10803632 10803653 10803654 10803666 10803693 10803697 10803700 10803719 10803720 10803721 10803722
368	NC_002754	15896978 15897010 15897011 15897012 15897013 15897090 15897092 15897093 15897096 15897098 15897309 15897434 15897435 15897436 15897437 15897438 15897439 15897440 15897441 15897448 15897449 15897450 15897465 15897471 15897685 15897690 15897697 15897700 15897704 15897705 15897706 15897735 15897739 15897740 15897741 15897749 15897750 15897859 15897938 15897939 15897940 15898019 15898033 15898035 15898036 15898041 15898050 15898051 15898052 15898053 15898054 15898055 15898056 15898064 15898068 15898069 15898085 15898086 15898087 15898088 15898089 15898091 15898092 15898093 15898094 15898106 15898107 15898122 15898129 15898143 15898157 15898158 15898159 15898160 15898173 15898178 15898179 15898182 15898188 15898189 15898190 15898202 15898203 15898205 15898206 15898207 15898211 15898216 15898221 15898223 15898224 15898225 15898226 15898229 15898236 15898247 15898250 15898253 15898254 15898255 15898259 15898274 15898284 15898299 15898304 15898305 15898306 15898307 15898308 15898310 15898311 15898312 15898317 15898319 15898321 15898327 15898328 15898332 15898336 15898342 15898343 15898344 15898345 15898348 15898349 15898369 15898370 15898374 15898375 15898377 15898378 15898382 15898390 15898403 15898412 15898415 15898416 15898418 15898419 15898432 15898436 15898447 15898457 15898458 15898461 15898466 15898467 15898468 15898470 15898472 15898477 15898478 15898487 15898492 15898493 15898495 15898496 15898497 15898498 15898499 15898501 15898503 15898509 15898510 15898511 15898512 15898514 15898515 15898516 15898517 15898518 15898524 15898525 15898526 15898527 15898528 15898532 15898535 15898536 15898537 15898545 15898546 15898548 15898549 15898550 15898551 15898552 15898559 15898565 15898569 15898570 15898574 15898576 15898584 15898590 15898591 15898592 15898593 15898594 15898595 15898596 15898597 15898600 15898604 15898616 15898624 15898627 15898630 15898631 15898633 15898634 15898637 15898638 15898643 15898644 15898645 15898646 15898647 15898648 15898649 15898664 15898677 15898678 15898680 15898684 15898692 15898700 15898713 15898714 15898717 15898718 15898724 15898725 15898726 15898727 15898728 15898737 15898738 15898742 15898744 15898748 15898760 15898761 15898762 15898763 15898768 15898769 15898770 15898774 15898775 15898776 15898790 15898799 15898800 15898825 15898863 15898870 15898874 15898883 15898887 15898888 15898889 15898904 15898907 15898908 15898916 15898926 15898927 15898928 15898934 15899014 15899015 15899039 15899073 15899079 15899088 15899089 15899141 15899274 15899276 15899277 15899291 15899296 15899297 15899298 15899299 15899308 15899382 15899436 15899437 15899438 15899439 15899440 15899497 15899500 15899501 15899502 15899503 15899527 15899549 15899555 15899556 15899557 15899558 15899559 15899560 15899568 15899569 15899592 15899593 15899594 15899600 15899601 15899602 15899606 15899607 15899611 15899612 15899629 15899630 15899632 15899633 15899635 15899636 15899637 15899638 15899639 15899640 15899641 15899642 15899643 15899652 15899653 15899655 15899656 15899657 15899658 15899664 15899665 15899666 15899667 15899695 15899703 15899704 15899725 15899729 15899730 15899733 15899734 15899740 15899761 15899769 15899779 15899780 15899781 15899782 15899786 15899810 15899839 15899852 15899857 15899859 15899860 15899875 15899876 15899919 15899920 15899923
2	NC_022093	530779891 530780626
7	NC_003364	18312392 18312910 18313406 18313575 18313901 18314123 18314134
1	NC_019791	429216588
74	NC_008701	119871525 119871631 119871637 119871639 119871653 119871666 119871676 119871759 119871797 119871803 119871812 119871847 119871848 119871851 119871883 119872120 119872121 119872155 119872158 119872180 119872309 119872312 119872313 119872333 119872358 119872374 119872375 119872449 119872517 119872540 119872543 119872549 119872555 119872566 119872568 119872573 119872574 119872576 119872594 119872595 119872660 119872680 119872683 119872725 119872728 119872741 119872743 119872756 119872763 119872779 119872803 119872832 119872878 119872886 119872908 119872920 119872921 119872940 119872941 119872954 119872972 119873021 119873022 119873129 119873206 119873207 119873217 119873218 119873251 119873252 119873278 119873324 119873390 119873461
4	NC_011529	212224162 212224393 212224529 212224532
35	NC_006393	55376284 55376285 55376286 55376289 55376294 55376295 55376299 55376316 55376317 55376318 55376327 55376328 55376329 55376330 55376331 55376335 55376340 55376344 55376346 55376347 55376348 55376351 55376389 55376390 55376391 55376392 55376393 55376394 55376395 55376397 55376401 55376402 55376404 55376407 55376408
4	NC_006392	55376229 55376231 55376259 55376260
9	NC_014804	315230343 315230645 315230922 315231488 315231605 315231628 315231675 315231763 315231764
